model_i,model_j,mean_dm,median_p,frac_seeds_sig
ESN(F=16),RandomForest,10.269761272905146,1.7495253251471601e-19,1.0
ESN(F=16),qrc_v4,-9.339760074990622,3.6248245074233696e-18,1.0
ESN(F=16),qrc_v6,-8.627557476380556,9.789045631289544e-16,1.0
ESN(F=16),qrc_rich,11.573862943433745,2.550053648813979e-29,1.0
ESN(F=16),ESN(F=24),4.8864286046694225,1.0878790127658462e-06,1.0
ESN(F=16),ESN(F=96),10.907764593855358,1.5448641259840472e-26,1.0
ESN(F=24),NG-RC(k3d2),12.502016585825867,1.167896655007494e-29,1.0
ESN(F=24),ESN,12.031314711328577,3.346502689219992e-29,1.0
ESN(F=24),ELM,12.501702038251333,1.1690543252442751e-29,1.0
ESN(F=24),ELM+poly2,12.501951479611332,1.1680672008335379e-29,1.0
ESN(F=24),RandomForest,9.13132859708563,3.365355458772982e-23,1.0
ESN(F=24),qrc_v4,-9.530329968907015,1.3390844267341395e-18,1.0
ESN(F=24),qrc_v6,-8.920820363793968,1.5049705218541577e-16,1.0
ESN(F=24),qrc_rich,12.494730071065977,1.1869888464912907e-29,1.0
ESN(F=24),ESN(F=16),-4.8864286046694225,1.0878790127658462e-06,1.0
ESN(F=24),ESN(F=96),9.999380348243603,1.4159630858596114e-26,1.0
ESN(F=96),NG-RC(k3d2),11.209033970576778,1.8012189139762212e-23,1.0
ESN(F=96),ESN,8.843999811857834,7.036467151969157e-17,1.0
ESN(F=96),ELM,11.207405133630362,1.81975958948347e-23,1.0
ESN(F=96),ELM+poly2,11.208678919547378,1.8051132355782468e-23,1.0
ESN(F=96),RandomForest,-0.3320797755493169,0.21723944362947287,0.2
ESN(F=96),qrc_v4,-9.778010709274488,1.4944575284590282e-19,1.0
ESN(F=96),qrc_v6,-9.264546981985877,3.7750034434364185e-19,1.0
ESN(F=96),qrc_rich,11.169844945081026,2.1585552289437192e-23,1.0
ESN(F=96),ESN(F=16),-10.907764593855358,1.5448641259840472e-26,1.0
ESN(F=96),ESN(F=24),-9.999380348243603,1.4159630858596114e-26,1.0
