system,ic_index,ic,model,seed,vpt_steps,vpt_lyap,diverged,wasserstein
henon,12,"{'x0': -0.46431972122640386, 'y0': 0.00893329216282217}",elm300,2,17,7.072270718954518,False,0.008212724941659382
henon,12,"{'x0': -0.46431972122640386, 'y0': 0.00893329216282217}",qrc_rich,0,9,3.7441433217994504,False,0.01425689948085929
henon,12,"{'x0': -0.46431972122640386, 'y0': 0.00893329216282217}",qrc_rich,1,11,4.5761751710882175,False,0.013094014577959046
henon,12,"{'x0': -0.46431972122640386, 'y0': 0.00893329216282217}",qrc_rich,2,10,4.1601592464438335,False,0.009887838360330286
henon,13,"{'x0': -0.0337939746747109, 'y0': 0.2503006639157113}",ngrc,0,29,12.374881860273357,False,0.02104372409852724
henon,13,"{'x0': -0.0337939746747109, 'y0': 0.2503006639157113}",esn300,0,7,2.9870404490315,False,0.0860479256503556
henon,13,"{'x0': -0.0337939746747109, 'y0': 0.2503006639157113}",esn300,1,7,2.9870404490315,True,21.945909770043425
henon,13,"{'x0': -0.0337939746747109, 'y0': 0.2503006639157113}",esn300,2,7,2.9870404490315,False,0.025180640249822004
henon,13,"{'x0': -0.0337939746747109, 'y0': 0.2503006639157113}",elm300,0,16,6.827521026357714,False,0.011778852011976258
henon,13,"{'x0': -0.0337939746747109, 'y0': 0.2503006639157113}",elm300,1,16,6.827521026357714,False,0.019524878082046268
henon,13,"{'x0': -0.0337939746747109, 'y0': 0.2503006639157113}",elm300,2,27,11.521441731978642,False,0.008877183551075724
henon,13,"{'x0': -0.0337939746747109, 'y0': 0.2503006639157113}",qrc_rich,0,8,3.413760513178857,False,0.014901641985222607
henon,13,"{'x0': -0.0337939746747109, 'y0': 0.2503006639157113}",qrc_rich,1,12,5.120640769768285,False,0.016843728544385546
henon,13,"{'x0': -0.0337939746747109, 'y0': 0.2503006639157113}",qrc_rich,2,12,5.120640769768285,False,0.026210365792637462
henon,14,"{'x0': 0.12922625449101044, 'y0': 0.00847058795970832}",ngrc,0,31,13.237915403957956,False,0.008624818761272617
henon,14,"{'x0': 0.12922625449101044, 'y0': 0.00847058795970832}",esn300,0,9,3.8432657624394064,False,0.015016480845201912
