system,ic_index,ic,model,seed,nrmse,n_features
henon,16,"{'x0': -0.48820597445749414, 'y0': -0.18455871360881362}",elm300,0,0.0003208164094397102,300
henon,16,"{'x0': -0.48820597445749414, 'y0': -0.18455871360881362}",elm300,1,0.0003182846932231656,300
henon,16,"{'x0': -0.48820597445749414, 'y0': -0.18455871360881362}",elm300,2,0.0002979480638291725,300
henon,16,"{'x0': -0.48820597445749414, 'y0': -0.18455871360881362}",qrc_rich,0,0.004463874533835844,96
henon,16,"{'x0': -0.48820597445749414, 'y0': -0.18455871360881362}",qrc_rich,1,0.004732923434974608,96
henon,16,"{'x0': -0.48820597445749414, 'y0': -0.18455871360881362}",qrc_rich,2,0.004575502244610498,96
henon,17,"{'x0': 0.19203212088183919, 'y0': -0.17963596560780287}",ngrc,0,2.1308390197759895e-06,21
henon,17,"{'x0': 0.19203212088183919, 'y0': -0.17963596560780287}",esn300,0,0.008982182120452578,300
henon,17,"{'x0': 0.19203212088183919, 'y0': -0.17963596560780287}",esn300,1,0.008537558416239035,300
henon,17,"{'x0': 0.19203212088183919, 'y0': -0.17963596560780287}",esn300,2,0.00909778242692498,300
henon,17,"{'x0': 0.19203212088183919, 'y0': -0.17963596560780287}",elm300,0,0.00027928697800622197,300
henon,17,"{'x0': 0.19203212088183919, 'y0': -0.17963596560780287}",elm300,1,0.0002877438946531807,300
henon,17,"{'x0': 0.19203212088183919, 'y0': -0.17963596560780287}",elm300,2,0.0002865442312727918,300
henon,17,"{'x0': 0.19203212088183919, 'y0': -0.17963596560780287}",qrc_rich,0,0.004541764142558754,96
henon,17,"{'x0': 0.19203212088183919, 'y0': -0.17963596560780287}",qrc_rich,1,0.004708143197882683,96
henon,17,"{'x0': 0.19203212088183919, 'y0': -0.17963596560780287}",qrc_rich,2,0.004662864385458022,96
henon,18,"{'x0': -0.1304636893977933, 'y0': -0.29775945476875443}",ngrc,0,1.8658739876819104e-06,21
