system,seed,model,eps,beta,val_nrmse,test_nrmse,n_features
mackeyglass,1,rfqrc,0.2,1e-09,0.5579511124898385,0.5668900329098435,256
mackeyglass,1,rfqrc,0.2,1e-12,0.558316478538786,0.5669114039685504,256
mackeyglass,1,rfqrc,0.3,1e-06,0.4186194679725035,0.42927458672944546,256
mackeyglass,1,rfqrc,0.3,1e-09,0.41885852453228306,0.4293912438508858,256
mackeyglass,1,rfqrc,0.3,1e-12,0.41899385667338723,0.4292759358071709,256
mackeyglass,1,elmF,,1e-06,0.001638946286371087,0.0017915187664301177,256
mackeyglass,1,ngrc,,1e-06,0.0021978006147868622,0.0023964626078002327,21
mackeyglass,2,rfqrc,0.05,1e-06,0.9028110808604085,0.8979050365748676,256
mackeyglass,2,rfqrc,0.05,1e-09,0.9026860530864035,0.8987437358321088,256
mackeyglass,2,rfqrc,0.05,1e-12,0.9025253849103372,0.9023492064501764,256
mackeyglass,2,rfqrc,0.1,1e-06,0.782365957170527,0.7827576973366832,256
mackeyglass,2,rfqrc,0.1,1e-09,0.7823649458304803,0.7843395250286768,256
mackeyglass,2,rfqrc,0.1,1e-12,0.7828298038172604,0.7862754138707337,256
mackeyglass,2,rfqrc,0.2,1e-06,0.5575700692605136,0.5663017247086606,256
mackeyglass,2,rfqrc,0.2,1e-09,0.5579187181021343,0.5668449606074627,256
mackeyglass,2,rfqrc,0.2,1e-12,0.558324645898934,0.5669349617238832,256
mackeyglass,2,rfqrc,0.3,1e-06,0.4186436612019772,0.42924318531401356,256
mackeyglass,2,rfqrc,0.3,1e-09,0.4188477608071219,0.42938445034489753,256
mackeyglass,2,rfqrc,0.3,1e-12,0.4189963612574589,0.42928723773187044,256
mackeyglass,2,elmF,,1e-06,0.0016008959511195004,0.0017479800779747541,256
mackeyglass,2,ngrc,,1e-06,0.0021978006147868622,0.0023964626078002327,21
mackeyglass,3,rfqrc,0.05,1e-06,0.9026924056464586,0.8979093978402627,256
mackeyglass,3,rfqrc,0.05,1e-09,0.9026318442919539,0.8993064373243215,256
mackeyglass,3,rfqrc,0.05,1e-12,0.9026233627102372,0.9022843586127901,256
mackeyglass,3,rfqrc,0.1,1e-06,0.7822010386098266,0.7829213254947344,256
mackeyglass,3,rfqrc,0.1,1e-09,0.7823875151741173,0.7846619784599632,256
mackeyglass,3,rfqrc,0.1,1e-12,0.7828701676471199,0.7862181459243629,256
mackeyglass,3,rfqrc,0.2,1e-06,0.5574954673777001,0.566383771438723,256
mackeyglass,3,rfqrc,0.2,1e-09,0.5579007340143932,0.5668967695704318,256
mackeyglass,3,rfqrc,0.2,1e-12,0.5583267301468946,0.5669062867477632,256
mackeyglass,3,rfqrc,0.3,1e-06,0.41861476184332796,0.42927227427084785,256
mackeyglass,3,rfqrc,0.3,1e-09,0.4188366938368976,0.4293899156415322,256
mackeyglass,3,rfqrc,0.3,1e-12,0.418994049772143,0.4292776629119796,256
mackeyglass,3,elmF,,1e-06,0.0016333349669996422,0.0017813322489899795,256
mackeyglass,3,ngrc,,1e-06,0.0021978006147868622,0.0023964626078002327,21
mackeyglass,4,rfqrc,0.05,1e-06,0.9027777912617623,0.8979638414908007,256
mackeyglass,4,rfqrc,0.05,1e-09,0.9027842133494375,0.8993209809984422,256
mackeyglass,4,rfqrc,0.05,1e-12,0.9025791661185047,0.9023820788771819,256
mackeyglass,4,rfqrc,0.1,1e-06,0.7822690175151151,0.7828614974366075,256
mackeyglass,4,rfqrc,0.1,1e-09,0.782517195294247,0.7846872795383882,256
mackeyglass,4,rfqrc,0.1,1e-12,0.7828802168637694,0.7862234331370016,256
mackeyglass,4,rfqrc,0.2,1e-06,0.557519371389379,0.5663559805933238,256
mackeyglass,4,rfqrc,0.2,1e-09,0.5579636170616832,0.5669052976976583,256
mackeyglass,4,rfqrc,0.2,1e-12,0.5583449536870044,0.5668800647919555,256
mackeyglass,4,rfqrc,0.3,1e-06,0.4186225623243202,0.4292622999848488,256
mackeyglass,4,rfqrc,0.3,1e-09,0.4188616269710506,0.4293972814317741,256
mackeyglass,4,rfqrc,0.3,1e-12,0.4190036754261886,0.42926785393337963,256
mackeyglass,4,elmF,,1e-06,0.001621074260043536,0.0017577384231528617,256
mackeyglass,4,ngrc,,1e-06,0.0021978006147868622,0.0023964626078002327,21
