phase,system,model,seed,tau,gamma,beta,val_nrmse,test_nrmse,n_features
grid4,lorenz,dqrc4,3,1.0,0.2,1e-12,0.007443278360288023,0.01164984608108195,48
grid4,lorenz,dqrc4,3,4.0,0.0,1e-06,0.034097829156142234,0.04407950603058397,48
grid4,lorenz,dqrc4,3,4.0,0.02,1e-09,0.01758831840488311,0.023186653263205587,48
grid4,lorenz,dqrc4,3,4.0,0.05,1e-12,0.010799288390951563,0.014226391152687859,48
grid4,lorenz,dqrc4,3,4.0,0.1,1e-12,0.008632925027543719,0.010530911352883126,48
grid4,lorenz,dqrc4,3,4.0,0.2,1e-12,0.005530894157131244,0.008266481698916332,48
grid4,lorenz,dqrc4,3,10.0,0.0,1e-12,0.039727748725508535,0.0712134402694267,48
grid4,lorenz,dqrc4,3,10.0,0.02,1e-06,0.02253741261564546,0.030989443809650078,48
grid4,lorenz,dqrc4,3,10.0,0.05,1e-12,0.010697803067739478,0.01438233155361105,48
grid4,lorenz,dqrc4,3,10.0,0.1,1e-12,0.008979673820558906,0.011515384847800392,48
grid4,lorenz,dqrc4,3,10.0,0.2,1e-12,0.007265629927155229,0.009836677890764953,48
ctrl4,lorenz,elmF,3,,,1e-06,0.0024039754697804602,0.003170696133561811,48
ctrl4,lorenz,esnF,3,,,1e-06,0.09898241723087531,0.11922634903197815,48
ctrl4,lorenz,ngrc,3,,,1e-06,0.0015374000700548393,0.0018550941268273865,56
grid4,lorenz,dqrc4,4,1.0,0.0,1e-12,0.04776815906219112,0.06800680748888598,48
grid4,lorenz,dqrc4,4,1.0,0.02,1e-12,0.030886293692712244,0.04708510291844453,48
grid4,lorenz,dqrc4,4,1.0,0.05,1e-12,0.021028903975415528,0.030441414835066613,48
grid4,lorenz,dqrc4,4,1.0,0.1,1e-12,0.01715446445753472,0.027970122098139254,48
grid4,lorenz,dqrc4,4,1.0,0.2,1e-12,0.012483514814438353,0.01792072794963412,48
grid4,lorenz,dqrc4,4,4.0,0.0,1e-06,0.01868517122816154,0.024351854591830473,48
grid4,lorenz,dqrc4,4,4.0,0.02,1e-12,0.010261664091521813,0.013267315981279629,48
grid4,lorenz,dqrc4,4,4.0,0.05,1e-12,0.008467445784935853,0.010866117398148892,48
grid4,lorenz,dqrc4,4,4.0,0.1,1e-12,0.010238887319997184,0.011658257357865898,48
grid4,lorenz,dqrc4,4,4.0,0.2,1e-09,0.01359848991215518,0.016997444351812656,48
grid4,lorenz,dqrc4,4,10.0,0.0,1e-06,0.02501974423421827,0.03224037789671153,48
