family,sr,leak,inp,gamma,tau,seed,val_cap,test_cap,test_cap_d15
esn48,0.99,0.3,0.2,,,0,6.3767579112206,7.246660543547364,5.256266046541144
esn48,0.99,0.3,0.5,,,0,5.65179032864463,6.553552516015056,4.817827690206115
esn48,0.99,0.6,0.05,,,0,11.569660189412799,12.539452458356926,9.366455852248
esn48,0.99,0.6,0.2,,,0,9.873503779256009,10.790297081562564,8.549644316718624
esn48,0.99,0.6,0.5,,,0,7.979643828482192,8.856966982825563,7.912468510688508
esn48,0.99,1.0,0.05,,,0,19.342919631560253,19.729246370117107,14.626150537973832
esn48,0.99,1.0,0.2,,,0,15.247800692457457,15.575412430709214,13.392364935768933
esn48,0.99,1.0,0.5,,,0,12.336215495534319,12.261379718555027,11.523815269198028
esn48,1.1,0.3,0.05,,,0,6.762434535392663,7.784685689606111,5.49412687570629
esn48,1.1,0.3,0.2,,,0,6.291807195401768,7.157245169549465,5.28335508132854
esn48,1.1,0.3,0.5,,,0,5.719360351011995,6.697175820468215,4.902030879414493
esn48,1.1,0.6,0.05,,,0,11.01415888568357,11.974394143094699,9.092977368960778
esn48,1.1,0.6,0.2,,,0,9.293131013801181,10.291117474534662,8.31574498694811
esn48,1.1,0.6,0.5,,,0,8.023054535365285,9.001122398563501,7.871541324178268
esn48,1.1,1.0,0.05,,,0,18.6087458079699,18.830508925903192,14.513962698816167
esn48,1.1,1.0,0.2,,,0,14.539980682681641,14.776323145654686,13.042949500394869
esn48,1.1,1.0,0.5,,,0,12.012774299147063,12.009310177692395,11.292401052192714
esn48,1.3,0.3,0.05,,,0,6.795277398987235,8.00024380549612,5.487888122801106
esn48,1.3,0.3,0.2,,,0,6.2137223136391,7.021131618940393,5.21114263427739
esn48,1.3,0.3,0.5,,,0,5.346051917048899,6.136384495205067,4.642661129445818
esn48,1.3,0.6,0.05,,,0,11.041532279845638,12.084293292242194,9.155392411645774
esn48,1.3,0.6,0.2,,,0,9.242113366841545,10.039247594155034,8.287566321156003
esn48,1.3,0.6,0.5,,,0,7.73649077232993,8.52234530315924,7.543756973691484
esn48,1.3,1.0,0.05,,,0,18.544713404969198,18.277925363582458,14.345898821246397
esn48,1.3,1.0,0.2,,,0,14.226083266775746,14.449194062228862,12.73351318170968
esn48,1.3,1.0,0.5,,,0,11.309953041819185,11.48117011875168,10.72026468181838
