system,n_qubits_eq,model,seed,nrmse,n_features,n_points,n_qubits,V,window,shots,readout,ngrc_degree
henon,6,ngrc,13,1.5867011999559015e-06,21,1500,,,5,,,2
henon,6,ngrc,14,1.5867011999559015e-06,21,1500,,,5,,,2
henon,6,ngrc,15,1.5867011999559015e-06,21,1500,,,5,,,2
henon,6,ngrc,16,1.5867011999559015e-06,21,1500,,,5,,,2
henon,6,ngrc,17,1.5867011999559015e-06,21,1500,,,5,,,2
henon,6,ngrc,18,1.5867011999559015e-06,21,1500,,,5,,,2
henon,6,ngrc,19,1.5867011999559015e-06,21,1500,,,5,,,2
henon,6,elmF,0,0.0009013203987858825,96,1500,,,5,,,
henon,6,elmF,1,0.0009924495624707235,96,1500,,,5,,,
henon,6,elmF,2,0.001062053440559153,96,1500,,,5,,,
henon,6,elmF,3,0.0010353686496456507,96,1500,,,5,,,
henon,6,elmF,4,0.000989774291212548,96,1500,,,5,,,
henon,6,elmF,5,0.0008744619654631474,96,1500,,,5,,,
henon,6,elmF,6,0.0009165828967112641,96,1500,,,5,,,
henon,6,elmF,7,0.0014277909607974702,96,1500,,,5,,,
henon,6,elmF,8,0.0006633097968899126,96,1500,,,5,,,
henon,6,elmF,9,0.0012560264721107786,96,1500,,,5,,,
henon,6,elmF,10,0.0008331220189555558,96,1500,,,5,,,
henon,6,elmF,11,0.0011268753490975623,96,1500,,,5,,,
henon,6,elmF,12,0.0007802269459111211,96,1500,,,5,,,
henon,6,elmF,13,0.0009505108575876832,96,1500,,,5,,,
henon,6,elmF,14,0.0010725644532662325,96,1500,,,5,,,
henon,6,elmF,15,0.000978273910461043,96,1500,,,5,,,
henon,6,elmF,16,0.0008630579551436235,96,1500,,,5,,,
henon,6,elmF,17,0.0012995855418545153,96,1500,,,5,,,
henon,6,elmF,18,0.000915870086164413,96,1500,,,5,,,
henon,6,elmF,19,0.0007600899344073852,96,1500,,,5,,,
henon,6,esnF,0,0.023613693838752677,96,1500,,,5,,,
henon,6,esnF,1,0.018766710600842573,96,1500,,,5,,,
henon,6,esnF,2,0.022895870786484283,96,1500,,,5,,,
henon,6,esnF,3,0.01294139810104277,96,1500,,,5,,,
henon,6,esnF,4,0.02195355755370327,96,1500,,,5,,,
henon,6,esnF,5,0.018281312883096538,96,1500,,,5,,,
henon,6,esnF,6,0.01810534153407883,96,1500,,,5,,,
henon,6,esnF,7,0.014700181838723713,96,1500,,,5,,,
henon,6,esnF,8,0.01594560135730689,96,1500,,,5,,,
henon,6,esnF,9,0.01592665762138146,96,1500,,,5,,,
henon,6,esnF,10,0.014475650690795101,96,1500,,,5,,,
henon,6,esnF,11,0.01647730847092087,96,1500,,,5,,,
henon,6,esnF,12,0.02160385106637989,96,1500,,,5,,,
henon,6,esnF,13,0.024473806583466606,96,1500,,,5,,,
henon,6,esnF,14,0.02006680339500186,96,1500,,,5,,,
henon,6,esnF,15,0.026906357232754613,96,1500,,,5,,,
henon,6,esnF,16,0.014203080680870433,96,1500,,,5,,,
henon,6,esnF,17,0.017979938372582962,96,1500,,,5,,,
henon,6,esnF,18,0.026139380265637183,96,1500,,,5,,,
henon,6,esnF,19,0.014399038283839724,96,1500,,,5,,,
henon,6,qrc,0,0.004389400700799065,96,1500,6,4,5,exact,Z+X+Y+ZZ,
henon,6,qrc,1,0.004567031618203596,96,1500,6,4,5,exact,Z+X+Y+ZZ,
henon,6,qrc,2,0.004426614544408188,96,1500,6,4,5,exact,Z+X+Y+ZZ,
henon,6,qrc,3,0.004386217051341267,96,1500,6,4,5,exact,Z+X+Y+ZZ,
henon,6,qrc,4,0.004386843810593769,96,1500,6,4,5,exact,Z+X+Y+ZZ,
