system,n,comparison,seed,dm_stat,p
mackeyglass,6,qrc_vs_esnF,4,-10.80544672839277,3.491038440318277e-23
mackeyglass,6,qrc_vs_elmF,4,11.360664471491464,4.322110521059967e-25
mackeyglass,6,qrc_vs_ngrc,4,9.973372989077694,2.1048192050340827e-20
mackeyglass,6,qrc_vs_esnF,5,-8.156433622741382,9.727411948349019e-15
mackeyglass,6,qrc_vs_elmF,5,11.523335690114248,1.1745943676334313e-25
mackeyglass,6,qrc_vs_ngrc,5,10.09115594425813,8.627554091450638e-21
mackeyglass,6,qrc_vs_esnF,6,-12.821711362843068,2.8676785558566838e-30
mackeyglass,6,qrc_vs_elmF,6,10.309858869570771,1.625737548538595e-21
mackeyglass,6,qrc_vs_ngrc,6,8.868312616070128,6.970389357720317e-17
mackeyglass,6,qrc_vs_esnF,7,-8.05791867222219,1.889529294888995e-14
mackeyglass,6,qrc_vs_elmF,7,11.917656969938834,4.856393357486403e-27
mackeyglass,6,qrc_vs_ngrc,7,10.485119008568148,4.217828304806311e-22
mackeyglass,6,qrc_vs_esnF,8,-10.713729281886721,7.14868469982718e-23
mackeyglass,6,qrc_vs_elmF,8,10.750734831529282,5.355152317166752e-23
mackeyglass,6,qrc_vs_ngrc,8,9.466441958126609,9.216715160365281e-19
mackeyglass,6,qrc_vs_esnF,9,-7.913099951739307,4.9695824695583606e-14
mackeyglass,6,qrc_vs_elmF,9,10.3436512746648,1.2543442120241701e-21
mackeyglass,6,qrc_vs_ngrc,9,9.149151870493846,9.319227584621857e-18
mackeyglass,8,qrc_vs_esnF,0,-8.394452604452104,4.214482969667232e-15
mackeyglass,8,qrc_vs_elmF,0,12.23272421213628,5.090627439934206e-27
mackeyglass,8,qrc_vs_ngrc,0,11.130621932614325,1.9252761041372593e-23
mackeyglass,8,qrc_vs_esnF,1,-9.821824740643184,2.4731527223683653e-19
mackeyglass,8,qrc_vs_elmF,1,9.75461072926586,3.972231909478518e-19
mackeyglass,8,qrc_vs_ngrc,1,9.227084372554042,1.5603200190883425e-17
mackeyglass,8,qrc_vs_esnF,2,-12.875998201735039,3.8362669629105145e-29
mackeyglass,8,qrc_vs_elmF,2,11.809438898881373,1.2330890435089206e-25
mackeyglass,8,qrc_vs_ngrc,2,10.836621008121915,1.6698060235155493e-22
mackeyglass,8,qrc_vs_esnF,3,-11.519059192870845,1.0805314435881677e-24
mackeyglass,8,qrc_vs_elmF,3,11.944103411423406,4.4859109387323615e-26
