model_key,model_name,group,kind,deterministic,system,seed,cfg_system,cfg_n_points,cfg_seed,cfg_scaler,cfg_scaler_scope,cfg_split_fracs,cfg_washout,cfg_horizon,cfg_lookback,cfg_stride,cfg_windowing,cfg_alpha,cfg_encode_scale,status,n_features,n_params,feature_rank,n_train,n_test,nrmse,rmse,mae,mse,r2,smape,max_error
cnn,1D-CNN/TCN,dl,torch sequence network on lag windows,False,lorenz,4,lorenz,1500,4,minmax,train,"(0.6, 0.2, 0.2)",100,1,8,1,internal,1e-06,1.0,ok,8,12673.0,,640,299,0.1347871409732658,0.02891704753945957,0.021257974838545163,0.0008361956383993646,0.981832426628253,8.701369857174237,0.10321787030544527
cnn,1D-CNN/TCN,dl,torch sequence network on lag windows,False,mackeyglass,0,mackeyglass,1500,0,minmax,train,"(0.6, 0.2, 0.2)",100,1,8,1,internal,1e-06,1.0,ok,8,12673.0,,640,299,0.1169621129832569,0.027183787802904473,0.022914582669862012,0.000738958319313338,0.9863198641264919,5.656783760077025,0.06663478899680142
cnn,1D-CNN/TCN,dl,torch sequence network on lag windows,False,mackeyglass,1,mackeyglass,1500,1,minmax,train,"(0.6, 0.2, 0.2)",100,1,8,1,internal,1e-06,1.0,ok,8,12673.0,,640,299,0.11588722318292188,0.026933966937852247,0.02275958397367835,0.0007254385750093181,0.9865701515029517,5.511824606845848,0.05604701538915602
cnn,1D-CNN/TCN,dl,torch sequence network on lag windows,False,mackeyglass,2,mackeyglass,1500,2,minmax,train,"(0.6, 0.2, 0.2)",100,1,8,1,internal,1e-06,1.0,ok,8,12673.0,,640,299,0.06203477049186897,0.014417831504927115,0.012057332905950017,0.00020787386530446889,0.9961516872500211,3.200953991251069,0.03506974852410638
cnn,1D-CNN/TCN,dl,torch sequence network on lag windows,False,mackeyglass,3,mackeyglass,1500,3,minmax,train,"(0.6, 0.2, 0.2)",100,1,8,1,internal,1e-06,1.0,ok,8,12673.0,,640,299,0.12031489257509566,0.027963025170029503,0.02346093404344677,0.0007819307766597036,0.9855243266246432,5.743415051839039,0.06239569855231991
cnn,1D-CNN/TCN,dl,torch sequence network on lag windows,False,mackeyglass,4,mackeyglass,1500,4,minmax,train,"(0.6, 0.2, 0.2)",100,1,8,1,internal,1e-06,1.0,ok,8,12673.0,,640,299,0.10741614127312274,0.02496515766086897,0.021064462527627968,0.0006232590970320445,0.9884617725939925,5.283868444383666,0.05288403530950514
elm,ELM,reservoir,random nonlinear projection + ridge,False,henon,0,henon,1500,0,minmax,train,"(0.6, 0.2, 0.2)",100,1,3,1,internal,1e-06,1.0,ok,300,301.0,129.0,799,299,0.00020786559673574334,6.026897315197614e-05,4.6523601416863734e-05,3.63234912479362e-09,0.9999999567918937,0.0944098574113125,0.00022211672018512818
elm,ELM,reservoir,random nonlinear projection + ridge,False,henon,1,henon,1500,1,minmax,train,"(0.6, 0.2, 0.2)",100,1,3,1,internal,1e-06,1.0,ok,300,301.0,132.0,799,299,0.00024470277376188363,7.094961905032301e-05,5.53055160663605e-05,5.033848443385957e-09,0.9999999401205525,0.12019183627415286,0.0002602801423201573
elm,ELM,reservoir,random nonlinear projection + ridge,False,henon,2,henon,1500,2,minmax,train,"(0.6, 0.2, 0.2)",100,1,3,1,internal,1e-06,1.0,ok,300,301.0,131.0,799,299,0.00023032356813966647,6.678048297777767e-05,5.027269662653455e-05,4.459632906745252e-09,0.999999946951054,0.10763163605786318,0.00030701351687933975
elm,ELM,reservoir,random nonlinear projection + ridge,False,henon,3,henon,1500,3,minmax,train,"(0.6, 0.2, 0.2)",100,1,3,1,internal,1e-06,1.0,ok,300,301.0,131.0,799,299,0.00021620666309908853,6.268739886842785e-05,4.7621600998314954e-05,3.929709976889368e-09,0.9999999532546788,0.09250710147839969,0.0002676070283496035
elm,ELM,reservoir,random nonlinear projection + ridge,False,henon,4,henon,1500,4,minmax,train,"(0.6, 0.2, 0.2)",100,1,3,1,internal,1e-06,1.0,ok,300,301.0,130.0,799,299,0.000212409478665899,6.158643550435593e-05,4.737076467970365e-05,3.792889038132192e-09,0.9999999548822134,0.10354170046429706,0.00023151960903300406
elm,ELM,reservoir,random nonlinear projection + ridge,False,lorenz,0,lorenz,1500,0,minmax,train,"(0.6, 0.2, 0.2)",100,1,3,1,internal,1e-06,1.0,ok,300,301.0,148.0,799,299,0.005834991261844637,0.001251830986937836,0.0009969260426138252,1.5670808198577566e-06,0.9999659528769742,0.6482577308172158,0.0034757599392031546
