system,model,seed,nrmse,n_features,n_points
lorenz96,esn,6,0.19706747350589182,300,1200
lorenz96,esn,7,0.1254071891425524,300,1200
lorenz96,esn,8,0.18857107820442975,300,1200
lorenz96,esn,9,0.17358184646218378,300,1200
lorenz96,esn,10,0.097993170079358,300,1200
lorenz96,esn,11,0.1310405493486881,300,1200
lorenz96,esn,12,0.10749028283725451,300,1200
lorenz96,esn,13,0.16915373758693256,300,1200
lorenz96,esn,14,0.16944204152115086,300,1200
lorenz96,esn,15,0.11913321859893888,300,1200
lorenz96,esn,16,0.156541694019165,300,1200
lorenz96,esn,17,0.14936083727566485,300,1200
lorenz96,esn,18,0.12249554695130545,300,1200
lorenz96,esn,19,0.101599906985443,300,1200
lorenz96,esn_tuned,0,0.01082974419987811,300,1200
lorenz96,esn_tuned,1,0.010574857785072701,300,1200
lorenz96,esn_tuned,2,0.011341313508333489,300,1200
lorenz96,esn_tuned,3,0.011393752886225898,300,1200
lorenz96,esn_tuned,4,0.010957109512548987,300,1200
lorenz96,esn_tuned,5,0.011671836796105053,300,1200
lorenz96,esn_tuned,6,0.011000525500221613,300,1200
lorenz96,esn_tuned,7,0.01075653066491861,300,1200
lorenz96,esn_tuned,8,0.011008647442289476,300,1200
lorenz96,esn_tuned,9,0.011077468385609949,300,1200
lorenz96,esn_tuned,10,0.01116601348588557,300,1200
lorenz96,esn_tuned,11,0.011427568468226063,300,1200
lorenz96,esn_tuned,12,0.010834417982249642,300,1200
lorenz96,esn_tuned,13,0.011752755522375813,300,1200
lorenz96,esn_tuned,14,0.01172516434105755,300,1200
lorenz96,esn_tuned,15,0.011534632648234637,300,1200
lorenz96,esn_tuned,16,0.011324523821532604,300,1200
lorenz96,esn_tuned,17,0.01121382924085952,300,1200
lorenz96,esn_tuned,18,0.010946479933956149,300,1200
lorenz96,esn_tuned,19,0.011003372436677246,300,1200
lorenz96,elm,0,0.021299761635135313,300,1200
lorenz96,elm,1,0.01979874000398422,300,1200
lorenz96,elm,2,0.019442170381037925,300,1200
lorenz96,elm,3,0.01836971785123624,300,1200
lorenz96,elm,4,0.020147691383618962,300,1200
lorenz96,elm,5,0.01967439314062086,300,1200
lorenz96,elm,6,0.019285914460241305,300,1200
lorenz96,elm,7,0.0200302082794923,300,1200
lorenz96,elm,8,0.02178660093134878,300,1200
lorenz96,elm,9,0.019276802004985518,300,1200
lorenz96,elm,10,0.019677324932117515,300,1200
lorenz96,elm,11,0.018968425338306137,300,1200
lorenz96,elm,12,0.018691788901510957,300,1200
lorenz96,elm,13,0.019433563726002738,300,1200
lorenz96,elm,14,0.018776291005227437,300,1200
lorenz96,elm,15,0.020685658633031564,300,1200
lorenz96,elm,16,0.019537460391613106,300,1200
lorenz96,elm,17,0.020751540472556246,300,1200
lorenz96,elm,18,0.018076917754755208,300,1200
lorenz96,elm,19,0.019457666614064333,300,1200
