system,spectral_radius,leak_rate,seed,nrmse,budget_note
lorenz96,1.5,1.0,2,0.2871801178879875,14 configs/system == the quantum encoding-tune budget
lorenz96,1.7,0.3,0,5.71247677735416,14 configs/system == the quantum encoding-tune budget
lorenz96,1.7,0.3,1,3.4423748524263083,14 configs/system == the quantum encoding-tune budget
lorenz96,1.7,0.3,2,13.002534941883201,14 configs/system == the quantum encoding-tune budget
lorenz96,1.7,1.0,0,0.5178181343326268,14 configs/system == the quantum encoding-tune budget
lorenz96,1.7,1.0,1,0.4638060710859773,14 configs/system == the quantum encoding-tune budget
lorenz96,1.7,1.0,2,0.47379503123061545,14 configs/system == the quantum encoding-tune budget
lorenz96,1.9,0.3,0,13.466457780779018,14 configs/system == the quantum encoding-tune budget
lorenz96,1.9,0.3,1,8.803167361652097,14 configs/system == the quantum encoding-tune budget
lorenz96,1.9,0.3,2,7.280086441509746,14 configs/system == the quantum encoding-tune budget
lorenz96,1.9,1.0,0,0.5918456133918469,14 configs/system == the quantum encoding-tune budget
lorenz96,1.9,1.0,1,0.7171711266690036,14 configs/system == the quantum encoding-tune budget
lorenz96,1.9,1.0,2,0.5711071367631858,14 configs/system == the quantum encoding-tune budget
