experiment,system,n,V,readout,vs,seed,dm_stat,p
vsweep,henon,6,8,base,qrc_V4,4,-4.729634996415751,3.47664190881697e-06
vsweep,henon,6,16,base,elmF_sameF,0,12.589320273950896,1.9693609877435798e-29
vsweep,henon,6,16,base,qrc_V4,0,-4.401167357451629,1.5016461871692873e-05
vsweep,henon,6,16,base,elmF_sameF,1,13.169272793530855,1.5785352016535694e-31
vsweep,henon,6,16,base,qrc_V4,1,-2.9111580852771164,0.0038726272872823563
vsweep,henon,6,16,base,elmF_sameF,2,13.038829660080514,4.698018498203291e-31
vsweep,henon,6,16,base,qrc_V4,2,-2.3954024120891737,0.017219160382937065
vsweep,henon,6,16,base,elmF_sameF,3,12.865104048760012,1.9989676481572762e-30
vsweep,henon,6,16,base,qrc_V4,3,-3.4214152382527496,0.0007100231031468379
vsweep,henon,6,16,base,elmF_sameF,4,12.554818361874435,2.6192804378755737e-29
vsweep,henon,6,16,base,qrc_V4,4,-4.761064663259572,3.0093636508810926e-06
readout,lorenz,6,4,poly2sq,qrc_base,0,-8.41833017948827,1.6262448703316029e-15
readout,lorenz,6,4,poly2sq,elmF_same,0,8.268413471546888,4.546250246681073e-15
readout,lorenz,6,4,poly2sq,ngrc,0,5.38389826737138,1.479630825535126e-07
readout,lorenz,6,4,poly2sq,qrc_base,1,-11.662328318000363,3.837895374161003e-26
readout,lorenz,6,4,poly2sq,elmF_same,1,8.364662267803062,2.352675399829264e-15
readout,lorenz,6,4,poly2sq,ngrc,1,7.6486265257446995,2.8243005958597945e-13
readout,lorenz,6,4,poly2sq,qrc_base,2,-9.68216565689943,1.8677879540376824e-19
readout,lorenz,6,4,poly2sq,elmF_same,2,7.897445011239752,5.513596237755396e-14
readout,lorenz,6,4,poly2sq,ngrc,2,4.820460010775555,2.2862490855825726e-06
readout,lorenz,6,4,poly2sq,qrc_base,3,-9.06427907613399,1.7180932435223064e-17
readout,lorenz,6,4,poly2sq,elmF_same,3,8.434772545204565,1.4518777672990722e-15
readout,lorenz,6,4,poly2sq,ngrc,3,5.891461343866157,1.0331686900415384e-08
readout,lorenz,6,4,poly2sq,qrc_base,4,-8.42099099175586,1.596683608558429e-15
readout,lorenz,6,4,poly2sq,elmF_same,4,8.63551684766531,3.5979452801251593e-16
readout,lorenz,6,4,poly2sq,ngrc,4,5.414625395087453,1.2659505175909386e-07
readout,lorenz,6,4,poly2int,qrc_base,0,-8.708393383513018,2.158101860571711e-16
readout,lorenz,6,4,poly2int,elmF_same,0,11.288225233142745,7.703239953515122e-25
readout,lorenz,6,4,poly2int,ngrc,0,-6.671656695224829,1.2305061207360816e-10
readout,lorenz,6,4,poly2int,qrc_base,1,-12.397526088668515,9.58399575539373e-29
readout,lorenz,6,4,poly2int,elmF_same,1,10.757456366993017,5.0811859555258036e-23
readout,lorenz,6,4,poly2int,ngrc,1,-6.46072657033007,4.2379296174981166e-10
readout,lorenz,6,4,poly2int,qrc_base,2,-9.855132123795928,5.126764277717221e-20
readout,lorenz,6,4,poly2int,elmF_same,2,10.943967165809196,1.1768997294407892e-23
readout,lorenz,6,4,poly2int,ngrc,2,-7.111480034008265,8.549344341532067e-12
readout,lorenz,6,4,poly2int,qrc_base,3,-9.412383068994718,1.3710112565626762e-18
readout,lorenz,6,4,poly2int,elmF_same,3,12.006494861056666,2.3571017551945785e-27
readout,lorenz,6,4,poly2int,ngrc,3,-6.859450057422028,3.9976447823037916e-11
readout,lorenz,6,4,poly2int,qrc_base,4,-8.781928965675498,1.2853065564666613e-16
readout,lorenz,6,4,poly2int,elmF_same,4,11.614977094911042,5.621195471403949e-26
readout,lorenz,6,4,poly2int,ngrc,4,-7.506005255387464,7.096046425786538e-13
readout,lorenz,6,4,delay3,qrc_base,0,-6.8037345700029315,5.5930631119282743e-11
readout,lorenz,6,4,delay3,elmF_same,0,8.69325486952349,2.4003342355723385e-16
readout,lorenz,6,4,delay3,ngrc,0,8.477742211584378,1.078799303487356e-15
readout,lorenz,6,4,delay3,qrc_base,1,-10.857973239269933,2.313059449010717e-23
readout,lorenz,6,4,delay3,elmF_same,1,8.022100857247874,2.402486348621611e-14
readout,lorenz,6,4,delay3,ngrc,1,7.86372948857444,6.89299722050469e-14
readout,lorenz,6,4,delay3,qrc_base,2,-8.171260018106683,8.798637715156104e-15
readout,lorenz,6,4,delay3,elmF_same,2,8.83035512716,9.12449613212979e-17
readout,lorenz,6,4,delay3,ngrc,2,8.761161231212139,1.4882562959387495e-16
readout,lorenz,6,4,delay3,qrc_base,3,-7.301119345183265,2.613260886637871e-12
readout,lorenz,6,4,delay3,elmF_same,3,9.016524029131052,2.420668685630477e-17
readout,lorenz,6,4,delay3,ngrc,3,8.924374141479886,4.677489496494836e-17
readout,lorenz,6,4,delay3,qrc_base,4,-6.497689273590562,3.419177579912399e-10
