experiment,system,n,V,model,readout,seed,nrmse,n_features,n_points
readout,lorenz,8,4,elmF,poly2sq,2,0.00038518980011896823,256,1200
readout,lorenz,8,4,elmF,poly2sq,3,0.0004308053910215862,256,1200
readout,lorenz,8,4,elmF,poly2sq,4,0.0003836063237249435,256,1200
readout,lorenz,8,4,qrc,poly2int,0,0.0008061974403196076,8384,1200
readout,lorenz,8,4,qrc,poly2int,1,0.0009395612144446875,8384,1200
readout,lorenz,8,4,qrc,poly2int,2,0.0008520417589324473,8384,1200
readout,lorenz,8,4,qrc,poly2int,3,0.0007697595450877744,8384,1200
readout,lorenz,8,4,qrc,poly2int,4,0.0007902602676898434,8384,1200
readout,lorenz,8,4,elmF,poly2int,0,0.00010184361951040925,8384,1200
readout,lorenz,8,4,elmF,poly2int,1,8.917886714213374e-05,8384,1200
readout,lorenz,8,4,elmF,poly2int,2,8.451158730709051e-05,8384,1200
readout,lorenz,8,4,elmF,poly2int,3,0.00010027529342281473,8384,1200
readout,lorenz,8,4,elmF,poly2int,4,9.08977927447377e-05,8384,1200
readout,lorenz,8,4,qrc,delay3,0,0.007844663389156849,384,1200
readout,lorenz,8,4,qrc,delay3,1,0.009710818652217824,384,1200
readout,lorenz,8,4,qrc,delay3,2,0.0071959497819720115,384,1200
readout,lorenz,8,4,qrc,delay3,3,0.006967149896558462,384,1200
readout,lorenz,8,4,qrc,delay3,4,0.007080956547091717,384,1200
readout,lorenz,8,4,elmF,delay3,0,0.0007047191336469426,384,1200
readout,lorenz,8,4,elmF,delay3,1,0.0005460371389855996,384,1200
readout,lorenz,8,4,elmF,delay3,2,0.000630155508821389,384,1200
readout,lorenz,8,4,elmF,delay3,3,0.000686606314993639,384,1200
readout,lorenz,8,4,elmF,delay3,4,0.0006974338320501835,384,1200
readout,lorenz,8,4,qrc,delay3+poly2,0,0.0010270344942942963,768,1200
readout,lorenz,8,4,qrc,delay3+poly2,1,0.0011879557804457094,768,1200
readout,lorenz,8,4,qrc,delay3+poly2,2,0.0009613464899894461,768,1200
readout,lorenz,8,4,qrc,delay3+poly2,3,0.0008784611640099862,768,1200
readout,lorenz,8,4,qrc,delay3+poly2,4,0.0008630460418909089,768,1200
readout,lorenz,8,4,elmF,delay3+poly2,0,0.00021259298237932527,768,1200
readout,lorenz,8,4,elmF,delay3+poly2,1,0.00019627965354087267,768,1200
readout,lorenz,8,4,elmF,delay3+poly2,2,0.00018689835811622012,768,1200
readout,lorenz,8,4,elmF,delay3+poly2,3,0.00021303464186884325,768,1200
readout,lorenz,8,4,elmF,delay3+poly2,4,0.0002121603945758384,768,1200
readout,lorenz,8,4,ngrc,base,0,0.0016758249668473403,56,1200
readout,lorenz,8,4,ngrc,base,1,0.0016758249668473403,56,1200
readout,lorenz,8,4,ngrc,base,2,0.0016758249668473403,56,1200
readout,lorenz,8,4,ngrc,base,3,0.0016758249668473403,56,1200
readout,lorenz,8,4,ngrc,base,4,0.0016758249668473403,56,1200
readout,mackeyglass,6,4,qrc,base,0,0.004520070388906503,96,1500
readout,mackeyglass,6,4,qrc,base,1,0.004619668760896657,96,1500
readout,mackeyglass,6,4,qrc,base,2,0.004581172612668992,96,1500
readout,mackeyglass,6,4,qrc,base,3,0.004745017038361798,96,1500
readout,mackeyglass,6,4,qrc,base,4,0.004625138554276815,96,1500
readout,mackeyglass,6,4,elmF,base,0,0.001989457529811487,96,1500
readout,mackeyglass,6,4,elmF,base,1,0.0020100435219827587,96,1500
readout,mackeyglass,6,4,elmF,base,2,0.0019902216121757796,96,1500
readout,mackeyglass,6,4,elmF,base,3,0.002041284352300354,96,1500
readout,mackeyglass,6,4,elmF,base,4,0.0019040950045252473,96,1500
readout,mackeyglass,6,4,qrc,poly2sq,0,0.004326848248114075,192,1500
readout,mackeyglass,6,4,qrc,poly2sq,1,0.004557677063800265,192,1500
readout,mackeyglass,6,4,qrc,poly2sq,2,0.004132015470137915,192,1500
readout,mackeyglass,6,4,qrc,poly2sq,3,0.004322437189202262,192,1500
readout,mackeyglass,6,4,qrc,poly2sq,4,0.004188612010917556,192,1500
readout,mackeyglass,6,4,elmF,poly2sq,0,0.0017601487655030936,192,1500
readout,mackeyglass,6,4,elmF,poly2sq,1,0.0017756523900132944,192,1500
readout,mackeyglass,6,4,elmF,poly2sq,2,0.0017061472307821702,192,1500
readout,mackeyglass,6,4,elmF,poly2sq,3,0.0018212887419170314,192,1500
readout,mackeyglass,6,4,elmF,poly2sq,4,0.0016696544091422288,192,1500
readout,mackeyglass,6,4,qrc,poly2int,0,0.0025378506950994037,4752,1500
readout,mackeyglass,6,4,qrc,poly2int,1,0.002517805963581658,4752,1500
readout,mackeyglass,6,4,qrc,poly2int,2,0.0022256836545589175,4752,1500
readout,mackeyglass,6,4,qrc,poly2int,3,0.002681623934436243,4752,1500
readout,mackeyglass,6,4,qrc,poly2int,4,0.0021661620547063112,4752,1500
readout,mackeyglass,6,4,elmF,poly2int,0,0.0014381495487318736,4752,1500
readout,mackeyglass,6,4,elmF,poly2int,1,0.001440066373884795,4752,1500
readout,mackeyglass,6,4,elmF,poly2int,2,0.0014338670854759311,4752,1500
readout,mackeyglass,6,4,elmF,poly2int,3,0.0014458432539538998,4752,1500
readout,mackeyglass,6,4,elmF,poly2int,4,0.0014018625163336076,4752,1500
readout,mackeyglass,6,4,qrc,delay3,0,0.0021638252475817492,288,1500
