system,model,vs,seed,dm_stat,p
mackeyglass,arcsin,ngrc,3,10.439554469544973,5.995906240222114e-22
mackeyglass,arcsin,ngrc,4,10.31228827768828,1.5957268788547778e-21
mackeyglass,arcsin,chebpoly,0,10.30637964979069,1.669696401953253e-21
mackeyglass,arcsin,chebpoly,1,5.681196910554821,3.180842431043513e-08
mackeyglass,arcsin,chebpoly,2,10.113407196859228,7.285728427678084e-21
mackeyglass,arcsin,chebpoly,3,10.449542038543356,5.551297654621336e-22
mackeyglass,arcsin,chebpoly,4,10.321862291704786,1.482726192695152e-21
mackeyglass,cheb,depth,0,5.559410999948028,6.015973039729832e-08
mackeyglass,cheb,depth,1,11.138289837516144,2.5360887240389904e-24
mackeyglass,cheb,depth,2,9.557301456082838,4.715856577492368e-19
mackeyglass,cheb,depth,3,7.918466955410211,4.795569940041151e-14
mackeyglass,cheb,depth,4,9.942024299578158,2.6664734755586452e-20
mackeyglass,cheb,elmF,0,5.566218204001057,5.8070513592880676e-08
mackeyglass,cheb,elmF,1,11.170547757460422,1.96362245116332e-24
mackeyglass,cheb,elmF,2,9.571042003618778,4.260170425663835e-19
mackeyglass,cheb,elmF,3,7.9346594826294785,4.306234421400167e-14
mackeyglass,cheb,elmF,4,9.961936586562006,2.294601673165149e-20
mackeyglass,cheb,ngrc,0,5.565688654836433,5.823047159726667e-08
mackeyglass,cheb,ngrc,1,11.168854833570823,1.990178862799176e-24
mackeyglass,cheb,ngrc,2,9.570382832287573,4.280996965478806e-19
mackeyglass,cheb,ngrc,3,7.934010104603924,4.324872958149228e-14
mackeyglass,cheb,ngrc,4,9.960176096386556,2.3252891621176137e-20
mackeyglass,cheb,chebpoly,0,5.5669140336107095,5.786097860003512e-08
mackeyglass,cheb,chebpoly,1,11.174035417669433,1.910019429736965e-24
mackeyglass,cheb,chebpoly,2,9.572129831150754,4.226020237224376e-19
mackeyglass,cheb,chebpoly,3,7.93622975708509,4.2614916027491676e-14
mackeyglass,cheb,chebpoly,4,9.963396426238377,2.2694603280208152e-20
